coaster_name,Length,Location,Status,Manufacturer,Height restriction,Model,Lift/launch system,Cost,Trains,Park section,Duration,Capacity,Designer,Max vertical angle,Drop,Soft opening date,Fast Lane available,Replaced,Track layout,Fastrack available,Closing date,Opened,Replaced by,Website,Flash Pass Available,Must transfer from wheelchair,Theme,Single rider line available,Restraint Style,Flash Pass available,Acceleration,Restraints,Name,year_introduced,latitude,longitude,Type_Main,opening_date_clean,speed1,speed2,speed1_value,speed1_unit,speed_mph,height_value,height_unit,height_ft,Inversions_clean,Gforce_clean
Crazy Bats,"3,851.7 ft (1,174.0 m)",Phantasialand,Operating,Vekoma,,Custom MK-900,,,4 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Wuze Town,4:00,1600 riders per hour,Werner Stengel,,,,,,,,,,,,,,Jungle,,,,,,,1988,50.801,6.878,Steel,4/1/1988,28.9 mph ,46.5 km/h,28.9,mph,28.9,38.4,ft,,0,
Flashback (Six Flags Magic Mountain),"1,900 ft (580 m)",Other,,Intamin,48 in (122 cm),Space Diver,Chain lift hill,"$4,000,000[2]",3 trains with 5 cars. Riders are arranged 4 across in a single row for a total of 20 riders per train.,Six Flags Plaza,1:30,"1,100 riders per hour",Werner Stengel,89°,34 ft (10 m),,,,,,,,,,,,,,,,,,,1988,,,Steel,,35 mph ,56 km/h,35,mph,35,86,ft,,0,3
Jetline,"2,624.8 ft (800.0 m)",Gröna Lund,Operating,Anton Schwarzkopf,,,,,,,1:30,"1,300 riders per hour",Werner Stengel,80°,,,,,,,,,,,,,,,,,,,,1988,59.3231,18.0956,Steel,1/1/1988,55.9 mph ,90.0 km/h,55.9,mph,55.9,105,ft,,0,4.5
Ninja (Six Flags Magic Mountain),"2,700 ft (820 m)",Six Flags Magic Mountain,Operating,Arrow Dynamics,42 in (107 cm),Suspended Coaster,Chain lift hill,$6 Million USA,3 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Samurai Summit,1:30,"1,600 riders per hour",Arrow Dynamics,36°,85[1] ft (26 m),,,,Terrain,,,,,,,Must transfer from wheelchair,,,,Flash Pass available,,,,1988,34.4222,-118.5983,Steel,5/21/1988,55 mph ,89 km/h,55,mph,55,60,ft,,0,2.9
Raging Wolf Bobs,"3,426 ft (1,044 m)",Geauga Lake,Removed,Dinn Corporation,48 in (122 cm),,Chain lift hill,"$2,500,000 ",2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,2:00,,Curtis D. Summers,50°,,,,,,,"June 16, 2007",,,,,,,,,,,,,1988,41.3525,-81.3722,Wood,5/28/1988,50 mph ,80 km/h,50,mph,50,80,ft,,0,
Shockwave (Six Flags Great America),"3,900 ft (1,200 m)",Six Flags Great America,Removed,Arrow Dynamics,54 in (137 cm),Megalooper,Chain lift,"$6,000,000[1]",,Orleans Place,2:20,2000 riders per hour,,,155 ft (47 m),,,,,,2002,,Superman: Ultimate Flight,,,,,,,,,,,1988,42.3712,-87.9343,Steel,6/3/1988,65 mph ,105 km/h,65,mph,65,170,ft,,7,
Thunderbolt Express,635 ft (194 m),Other,,Arrow Dynamics,,Launched Loop,,,Single train with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,Wild Animal Habitat,1:06,,,,47 ft (14 m),,,,,,,,,,,,,,,,,,,1988,,,Steel,,45 mph ,72 km/h,45,mph,45,56,ft,,1,4
Wipeout (roller coaster),935 ft (285 m),Pleasurewood Hills,Operating,Vekoma,130 cm (4 ft 3 in),Boomerang,Chain,,Single train with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,,,760 riders per hour,,,110 ft (34 m),,,,Steel,,,,,,,,,,,,,,,1988,52.5075,1.7434,Steel,1/1/2007,50 mph ,80 km/h,50,mph,50,120,ft,,6,
Wolverine Wildcat,"3,000 ft (910 m)",Michigan's Adventure,Operating,Dinn Corporation,48 in (122 cm),Sit Down,Chain Lift,,Single train with 4 cars. Riders are arranged 2 across in 3 rows for a total of 24 riders per train.,Timbertown,2:00,700 riders per hour,Curtis D. Summers,50°,78 ft (24 m),,Fast Lane available,,Double Out and Back,,,,,,,,,,,,,,,1988,43.3436,-86.2775,Wood,5/18/1988,55 mph ,89 km/h,55,mph,55,85,ft,,0,
Alpine Bobsled,"1,490 ft (450 m)",Other,,Intamin,42 in (107 cm),Bobsled roller coaster,,,6 trains with a single car. Riders are arranged 2 across in 4 rows for a total of 8 riders per train.,Fest Area,1 min. 40 sec.,,,,,,,,,,,,,,,,,,,,,,,1989,,,Steel,,35 mph ,56 km/h,35,mph,35,64,ft,,0,
Anaconda (Walygator Parc),"3,937 ft (1,200 m)",Walygator Parc,Operating,William Cobb,,,,,,,2:10,,,,,,,,,,,,,,,,,,,,,,,1989,,,Other,1/1/1989,,,,,,118.1,ft,,0,
Eurosat - CanCan Coaster,"900 m (3,000 ft)",Europa-Park,Operating,Mack Rides,120 cm (3 ft 11 in),,Spiral lift,,7 trains with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,France,3:20 minutes,max. 1600 riders per hour,,70°,,,,Eurosat,,,"November 5, 2017[1]",,,,,,,Single rider line available,,,,,,1989,,,Steel,1/1/1989,60 km/h ,37 mph,60,km/h,37.3,25.5,m,83.7,0,4
Excalibur (Valleyfair),"2,415 ft (736 m)",Valleyfair,Operating,Arrow Dynamics,48 in (122 cm),Special Coaster Systems,Chain lift hill,"$3,000,000 USD",Single train with 5 cars. Riders are arranged 2 across in 3 rows for a total of 30 riders per train.,,2:17,1200 riders per hour,,60°,105 ft (32 m),,,,,,,,,,,,,,,,,,,1989,44.7995,-93.462,Steel,1/1/1989,54.5 mph ,87.7 km/h,54.5,mph,54.5,100,ft,,0,3.6
Flashback (Six Flags Over Texas),935 ft (285 m),Other,,Vekoma,48 in (122 cm),Boomerang,Chain lift hill,,Single train with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,,1:48,760 riders per hour,,65°,108 ft (33 m),,,Water Street Cab Company,,,"September 3, 2012",,Texas SkyScreamer,,,Must transfer from wheelchair,,,,,,,,1989,,,Steel,,47 mph ,76 km/h,47,mph,47,116.5,ft,,3,5.2
Goudurix,"950 m (3,120 ft)",Parc Astérix,Operating,Vekoma,140 cm (4 ft 7 in),,Chain lift hill,,2 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,,1:20,,Vekoma,64°,32.9 m (108 ft),,,,,,,,,,,,,,,,,,,1989,49.1314,2.5714,Steel,1/1/1989,90 km/h ,56 mph,90,km/h,55.9,36,m,118.1,7,3.9
Great American Scream Machine (Six Flags Great Adventure),"3,800 ft (1,200 m)",Six Flags Great Adventure,Removed,Arrow Dynamics,54 in (137 cm),Custom Looping Coaster,Chain lift hill,$7 million[1],,Boardwalk,2:20,1680 riders per hour,Arrow Dynamics,,155 ft (47 m),,,Sarajevo Bobsled,Twister,,"July 18, 2010",,Green Lantern,,,,,,,,,,,1989,40.1391,-74.4381,Steel,4/15/1989,68 mph ,109 km/h,68,mph,68,173,ft,,7,3.8
Hercules (roller coaster),"4,000 ft (1,200 m)",Dorney Park & Wildwater Kingdom,Removed,Dinn Corporation,48 in (122 cm),Terrain,Chain lift hill,$6 million,,,2:15,,Curtis D. Summers,47°,151 ft (46 m),,,,Double out-and-back,,"September 1, 2003",,Hydra the Revenge,,,,,,,,,,,1989,40.5811,-75.5322,Wood,5/6/1989,65 mph ,105 km/h,65,mph,65,95,ft,,0,
Magnum XL-200,"5,106 ft (1,556 m)",Cedar Point,Operating,Arrow Dynamics,48 in (122 cm),Hyper Coaster,Chain lift hill,"US$ 8,000,000",3 trains with 6 cars. Riders are arranged 2 across in 3 rows for a total of 36 riders per train.,Gemini Midway,2:00,"2,000 riders per hour",Ron Toomer,60°,194.7 ft (59.3 m),,Fast Lane available,,Out and Back,,,,,,,,,,,,,,,1989,41.4853,-82.6861,Steel,5/6/1989,72 mph ,116 km/h,72,mph,72,205,ft,,0,
Ninja (Six Flags St. Louis),"2,430 ft (740 m)",Other,,Vekoma,48 in (122 cm),Custom MK-1200,,,3 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Studio Backlot,2:00,,Ron Toomer,,80 ft (24 m),,,River King Mine Train,custom,,October 1986,,,,Flash Pass Available,,,,,,,,,1989,38.5149,-90.6739,Steel,,54.7 mph ,88.0 km/h,54.7,mph,54.7,108.3,ft,,4,
Olympia Looping,"4,101 ft (1,250 m)",Oktoberfest,Operating,BHS,130 cm (4 ft 3 in),,Drive tire lift hill,,5 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,,1:45,,"Anton Schwarzkopf, Werner Stengel",52°,99 ft (30 m),,,,,,,,,,,,,,,,,,,1989,48.131,11.549,Steel,9/17/1989,52 mph ,84 km/h,52,mph,52,110,ft,,5,5.2
Timber Wolf (roller coaster),"4,260 ft (1,300 m)",Worlds of Fun,Operating,Dinn Corporation,48 in (122 cm),Custom,Chain Lift,$3 million,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Americana,2 min 13 sec,905 riders per hour,Curtis D. Summers,,95 ft (29 m),,Fast Lane available,Extremeroller,,,,,,,,,,,,,,,,1989,39.1728,-94.4892,Wood,4/1/1989,53 mph ,85 km/h,53,mph,53,100,ft,,0,
Ultra Twister (Nagashima Spa Land),,Nagashima Spa Land,Operating,TOGO,48 in (122 cm),Ultra Twister,Vertical Chain lift,,,,1:18,,,85°,,,,,,,,,,,,,,,,,,,,1989,35.0285,136.7326,Steel,1/1/1989,,,,,,,,,3,
Vekoma Illusion,"765 m (2,510 ft)",Bobbejaanland,Operating,Vekoma,100 cm (3 ft 3 in),Illusion,,,Single train with 30 cars. Riders are arranged 2 across in a single row for a total of 60 riders per train.,,140 seconds,1200 riders per hour,,,,"May 1, 1989",,,,,,,,,,,,,,,,,,1989,51.1993,4.909,Steel,6/15/1989,50 km/h ,31 mph,50,km/h,31.1,28,m,91.9,0,
Viper (Six Flags AstroWorld),"1,942 ft (592 m)",Other,,Anton Schwarzkopf,42 in (107 cm),Looping Star,Chain lift hill,,,,,1700 riders per hour,Werner Stengel,,,,,,Custom,,,,,,,,,,,,,,,1989,,,Steel,,47.8 mph ,76.9 km/h,47.8,mph,47.8,80,ft,,1,
Corkscrew (Silverwood),"1,250 ft (380 m)",Other,,Arrow Development,48 in (122 cm),Corkscrew,Chain lift hill,,,,1:15,600 riders per hour,Ron Toomer,,62 ft (19 m),,,,,,1989,,Boomerang,,,,,,,,,,,1990,,,Steel,,46 mph ,74 km/h,46,mph,46,72,ft,,2,
Dragon (Adventureland),"2,620 ft (800 m)",Adventureland (Iowa),Removed,Hopkins Rides,42 in (107 cm),Looping coaster,Chain Lift Hill,$2.1 Million,Single train with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Dragon Island,2 minutes,800 riders per hour,,45°,85 ft (26 m),,,,Out and Back,,29-Sep-19,,Dragon Slayer,,,,,,,,4,,,1990,41.6504,-93.5014,Steel,5/12/1990,55 mph ,89 km/h,55,mph,55,90,ft,,2,4.5
Flashback (Six Flags New England),935 ft (285 m),Other,,Vekoma,48 in (122 cm),Boomerang,Chain,,,North End,1:48,760 riders per hour,,,,,,,,,,,,,,,,Single rider line available,,Flash Pass available,,,,1990,,,Steel,,47 mph ,76 km/h,47,mph,47,117,ft,,3,5.2
Iron Wolf (roller coaster),"2,900 ft (880 m)",Other,,Bolliger & Mabillard,54–76 in (137–193 cm),Floorless,Chain lift hill,,2 trains with 6 cars. Riders are arranged 4 across in a single row for a total of 24 riders per train.,,2:00,1220 riders per hour,Werner Stengel,,90 ft (27 m),,,,Twister,,"September 5, 2011",,Goliath,,Flash Pass Available,,,,,,,,Iron Wolf,1990,,,Steel,,55 mph ,89 km/h,55,mph,55,100,ft,,2,
Pikajuna,293.0 m (961.3 ft),Linnanmäki,Operating,Mack Rides,,Powered Coaster,,,,,1:35,,,,,,,,,,,,,,,,,,,,,,,1990,60.1875,24.9381,Steel,1/1/1990,37 km/h ,23 mph,37,km/h,23,7,m,23,0,
Predator (roller coaster),"3,400 ft (1,000 m)",Six Flags Darien Lake,Operating,Dinn Corporation,48 in (122 cm),,,,Single train with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,1:50,1300 riders per hour,Curtis D. Summers,,,,,,,,,,,,,,,,,,,,,1990,42.9292,-78.3861,Wood,5/25/1990,50 mph ,80 km/h,50,mph,50,95,ft,,0,
Texas Giant,"4,200 ft (1,300 m)",Six Flags Over Texas,Operating,Rocky Mountain Construction,48 in (122 cm),I-Box – Custom,Chain lift hill,US$10 million,3 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Texas,3:25,1600 riders per hour,Alan Schilke,79°,147 ft (45 m),,,Texas Giant,,,,,,,,,,,,,,,,1990,32.7564,-97.0731,Steel,4/22/2011,65 mph ,105 km/h,65,mph,65,153,ft,,0,4.2
Thunder Looper,,Other,Discontinued,Anton Schwarzkopf,,,,,,,,1300 riders per hour,Werner Stengel & Reinhold Spieldiener,,,,,,,,,,,,,,,,,,,,,1990,,,Other,,,,,,,,,,2,
Thunder Run (Kentucky Kingdom),"2,850 ft (870 m)",Kentucky Kingdom,Operating,Dinn Corporation,48 in (122 cm),Custom,Chain lift hill,,Single train with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,1:54,,Curtis D. SummersJohn Fetterman,,74 ft (23 m),,,,,,,,,,,,,,,,,,,1990,38.1956,-85.7475,Wood,8/1/1990,53 mph ,85 km/h,53,mph,53,90,ft,,0,
Tigre de Sibérie,"1,181.1 ft (360.0 m)",Le Pal,Operating,Reverchon Industries,,Figure eight,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990,,,Steel,1/1/1990,24.9 mph ,40.1 km/h,24.9,mph,24.9,42.7,ft,,0,
Twisted Cyclone,"2,400 ft (730 m)",Six Flags Over Georgia,Operating,Rocky Mountain Construction,48 in (122 cm),I-Box,Chain,,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,,,Alan Schilke,75°,,,,Georgia Cyclone,,,,,,Official site,Flash Pass Available,,,,,,,,,1990,33.7703,-84.5522,Steel,5/25/2018,50 mph ,80 km/h,50,mph,50,100,ft,,3,
Ultra Twister (Six Flags),"1,421 ft (433 m)",Other,,TOGO,48 in (122 cm),Ultratwister,Chain lift hill,"$3,000,000[1]",7 cars. Riders arranged 2 across in 3 rows for a total of 6 riders per car.,Frontier Adventures,1:40,,,85°,92 ft (28 m),,,,,,,,Viper,,,,,,,,,,,1990,,,Steel,,44 mph ,71 km/h,44,mph,44,96.8,ft,,3,
Vampire (roller coaster),"2,200 ft (670 m)",Chessington World of Adventures,Operating,Arrow Dynamics,43.3 in (110 cm),Suspended Swinging Coaster,Chain lift,,2 trains with 12 cars. Riders are arranged 2 across in a single row for a total of 24 riders per train.,Wild Woods,,,John Wardley,,,,,,,Fastrack available,,,,,,,Gothic,,,,,,,1990,51.3473,-0.3156,Steel,4/11/1990,45 mph ,72 km/h,45,mph,45,70,ft,,0,4
Viper (Six Flags Magic Mountain),"3,830 ft (1,170 m)",Six Flags Magic Mountain,Operating,Arrow Dynamics,54 in (137 cm),Custom Looping Coaster,Chain lift hill,"$8,000,000 USD",3 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Baja Ridge,2:30,1700 riders per hour,Ron Toomer[1],55°,171 ft (52 m),,,Condor,,,,,,,,Must transfer from wheelchair,,Single rider line available,,Flash Pass available,,,,1990,34.4208,-118.5953,Steel,4/7/1990,70 mph ,110 km/h,70,mph,70,188,ft,,7,4.1
Adventure Express,"2,963 ft (903 m)",Kings Island,Operating,Arrow Dynamics,48 in (122 cm),Mine Train,Two chain lift hills,"$4,000,000 ",3 trains with 5 cars. Riders are arranged 2 across in 3 rows for a total of 30 riders per train.,Oktoberfest,2:20,1600 riders per hour,,,,,Fast Lane available,,,,,,,,,,,,,,,,,1991,39.3445,-84.2648,Steel,4/13/1991,35 mph ,56 km/h,35,mph,35,63,ft,,0,3.8
Afterburner (Fun Spot),635 ft (194 m),Fun Spot Amusement Park & Zoo,Removed,Arrow Development,48 in (122 cm),Launched Loop,Electric motor launch,,,,1:06,,Arrow Development,,47 ft (14 m),,,,Launched Loop,,2008,,,,,,,,,,,,,1991,41.6769,-85.0312,Steel,1/1/1991,45 mph ,72 km/h,45,mph,45,56,ft,,2,4
Anaconda (roller coaster),"2,700 ft (820 m)",Kings Dominion,Operating,Arrow Dynamics,48 in (122 cm),Custom Looping Coaster,Chain lift hill,"$5,000,000[1]",2 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Jungle X-Pedition,1:50,"1,400 riders per hour",Ron Toomer,,144 ft (44 m),,,King Kobra,,,,,,,,,,,,,,,,1991,37.8392,-77.4402,Steel,3/23/1991,50 mph ,80 km/h,50,mph,50,128,ft,,4,5.1
Pegasus (Efteling),"1,615 ft (492 m)",Efteling,Removed,Dinn Corporation,,,Chain lift hill,,2 trains with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,Ruig Rijk,1:43,1400 riders per hour,Curtis D. Summers,,39.4 ft (12.0 m),,,,Wood,,"June 19, 2009",,George and the Dragon,,,,,,,,,,,1991,51.6469,5.0519,Wood,7/1/1991,34.2 mph ,55.0 km/h,34.2,mph,34.2,49.3,ft,,0,3.5
Psyclone (roller coaster),"2,970 ft (910 m)",Six Flags Magic Mountain,Removed,Dinn Corporation,48 in (122 cm),,Chain lift hill,$5 million,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,1:50,1200 riders per hour,Curtis D. Summers,53°,77 ft (23 m),,,Shockwave,Twister,,2006,,Apocalypse: The Ride,,,,,,,,,,,1991,34.421,-118.6003,Wood,3/23/1991,50 mph ,80 km/h,50,mph,50,95,ft,,0,3
Sidewinder (Hersheypark),935 ft (285 m),Hersheypark,Operating,Vekoma,48 in (122 cm),Boomerang,Cable and Chain lift hill on both towers,,Single train with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,,1:48,760 riders per hour,,,,,,,,,,,,,,,,,,,,,,1991,40.2899,-76.6538,Steel,5/11/1991,47 mph ,76 km/h,47,mph,47,116.5,ft,,6,5.2
Steel Phantom,"3,200 ft (980 m)",Kennywood,Operating,D. H. Morgan Manufacturing,48 in (122 cm),Hyper Coaster,Chain lift hill,$4.6 million,2 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Lost Kennywood,1:57,1400 riders per hour,,52°,228 ft (69 m),,,Laser Loop,Terrain Mega Coaster,,,,,,,,,,,,,,,1991,40.389,-79.866,Steel,5/10/1991,85 mph ,137 km/h,85,mph,85,160,ft,,0,3.5
Toboggan (Lakemont Park),450 ft (140 m),Lakemont Park,Removed,Chance Rides,,Toboggan,,,,,,,,,,,,,,,2016,,,,,,,,,,,,,1991,40.4712,-78.3961,Steel,1/1/1991,,,,,,45,ft,,0,
Turbo Mountain,"420 m (1,380 ft)",Adventure World,Removed,Anton Schwarzkopf,,Custom Jet Star 2,Chain lift hill,,a single car. Riders are arranged 2 across in 3 rows for a total of 6 riders per train.,,,480 riders per hour,Ing.-Büro Stengel GmbH,,,,,,,,2009,,Freefall,,,,,,,,,,,1991,-32.0948,115.8164,Steel,1/1/1991,57 km/h ,35 mph,57,km/h,35.4,12,m,39.4,0,
The Ultimate (roller coaster),"7,442 ft (2,268 m)",Lightwater Valley,Closed,British Rail Engineering Limited,51 in (130 cm),,Two chain lift hills,"£5,200,000",2 trains with 10 cars. Riders are arranged 2 across in 2 rows for a total of 40 riders per train.,,7:34,400 riders per hour,Big Country MotioneeringRobert Staveley,,,,,,Terrain,,,,,,,,,,,,,,,1991,54.1739,-1.5687,Steel,7/17/1991,50 mph ,80 km/h,50,mph,50,107,ft,,0,
Vortex (Canada's Wonderland),"719.5 m (2,361 ft)",Canada's Wonderland,Operating,Arrow Dynamics,122 cm (4 ft 0 in),Suspended Coaster,Chain lift hill,,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Frontier Canada,1:36,,,,26 m (85 ft),,Fast Lane available,,Terrain,,,,,,,,,,,,,,,1991,43.8419,-79.5435,Steel,5/12/1991,55 mph ,89 km/h,55,mph,55,27.8,m,91.2,0,
Vortex (Great America),"1,920 ft (590 m)",California's Great America,Operating,Bolliger & Mabillard,54–78[1] in (137–198 cm),Floorless Coaster,Chain lift hill,,2 trains with 7 cars. Riders are arranged 4 across in a single row for a total of 28 riders per train.,Hometown Square,2:14,1200 riders per hour,Werner Stengel,,,,Fast Lane available,,,,,,,,,,,,,,,,,1991,37.3967,-121.9732,Steel,3/9/1991,45 mph ,72 km/h,45,mph,45,91,ft,,2,
Wildcat (Frontier City),"2,653 ft (809 m)",Other,,National Amusement Devices,42 in (107 cm),Wooden roller coaster,Chain lift hill,$2 million,2 trains with 3 cars. Riders are arranged 2 across in 3 rows for a total of 18 riders per train.,,2:10,,Aurel VaszinEdward Leis,,65 ft (20 m),,,,Out and back,,1977,,,,,,,,,,,,,1991,,,Wood,,46 mph ,74 km/h,46,mph,46,75,ft,,0,
Batman: The Ride,"2,693 or 2,700 ft (821 or 823 m)",Other,,Bolliger & Mabillard,54 in (137 cm),Inverted Coaster – Batman,Chain lift hill,,2 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,,1:45,1280–1400[1][2] riders per hour,Werner Stengel,,84.5 ft[3],,,,,,,,,,,,,Single rider line available,Over-the-shoulder,Flash Pass available,,,,1992,,,Steel,,50 mph ,80 km/h,50,mph,50,100,ft,,5,4
Big Thunder Mountain Railroad,,Other,,"Arrow Development (California and Florida)Dynamic Structures (2014 California rebuild)Vekoma (Paris, Tokyo)",40 in (102 cm),Mine Train,Chain lift hill,,,,~3:00,,Walt Disney Imagineering,,,,,Mine Train Through Nature's Wonderland,Custom,,,,,,,Must transfer from wheelchair,,Single rider line available,,,,Single Lap Bar,,1992,,,Steel,,35 mph ,56 km/h,35,mph,35,104,ft,,0,
Blue Hawk (roller coaster),"2,742 ft (836 m)",Other,,Vekoma,48 in (122 cm),MK-1200 (Custom),Chain lift hill,,2 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,,1:20,1300 riders per hour,,48°,109 ft (33 m),,,,Twister,,1991,,,,Flash Pass Available,,,,,,,,,1992,,,Steel,,52 mph ,84 km/h,52,mph,52,122,ft,,5,4
Cosmic Coaster (Valleyfair),215 ft (66 m),Other,,Zamperla,,Powered Coaster,,,Single train with 4 cars. Riders are arranged 2 across in 2 rows for a total of 16 riders per train.,Planet Snoopy,2:30,,,,,,,,,,2010,,,,,,,,,,,,Dragon Coaster,1992,,,Steel,,15 mph ,24 km/h,15,mph,15,14,ft,,0,
Desert Storm (roller coaster),,Castles N' Coasters,Operating,Hopkins Rides,42 in (107 cm),,Chain lift hill,,Single train with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,,,,,,,,,,,,,,,,,,,,,,,,,1992,33.5718,-112.1188,Steel,1/1/1992,,,,,,,,,2,
Drachen Fire,"3,550 ft (1,080 m)",Busch Gardens Williamsburg,Removed,Arrow Dynamics,48 in (122 cm),Custom Looping,Chain lift hill,"$4,000,000 ",3 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Festhaus Park,,,Ron Toomer,,145 ft (44 m),"April 3, 1992",,,Custom,,July 1998,,,,,,,,,,,,,1992,37.2306,-76.6444,Steel,4/4/1992,60 mph ,97 km/h,60,mph,60,150,ft,,5,
Dragon Coaster (Dorney Park),215 ft (66 m),Other,,Zamperla,,Powered Coaster,,,Single train with 4 cars. Riders are arranged 2 across in 2 rows for a total of 16 riders per train.,Planet Snoopy,2:30,,,,,,,,,,2010,,,,,,,,,,,,Dragon Coaster,1992,,,Steel,,15 mph ,24 km/h,15,mph,15,14,ft,,0,
Eagle Fortress,"3,200 ft (980 m)",Everland,Removed,Arrow Dynamics,,Suspended looping coaster,,,,,1:58,,,,,,,,,,January 2009,,,,,,,,,,,,,1992,,,Steel,9/8/1992,40 mph ,64 km/h,40,mph,40,,,,0,
Flashback (Six Flags Magic Mountain),"1,900 ft (580 m)",Other,,Intamin,48 in (122 cm),Space Diver,Chain lift hill,"$4,000,000[2]",3 trains with 5 cars. Riders are arranged 4 across in a single row for a total of 20 riders per train.,Six Flags Plaza,1:30,"1,100 riders per hour",Werner Stengel,89°,34 ft (10 m),,,,,,,,,,,,,,,,,,,1992,,,Steel,,35 mph ,56 km/h,35,mph,35,86,ft,,0,3
The Great Pumpkin Coaster,,"Mason, Ohio, United States",Operating,,,,,,,,,,,,,,,,,,,"April 29, 1972",,Official website,,,,,,,,,,1992,39.3448,-84.2686,Other,,,,,,,,,,0,
Jupiter (roller coaster),"1,600 m (5,200 ft)",Kijima Kogen,Operating,Intamin,120 cm (3 ft 11 in),,,2.5 billion yen,,,2:34,,Curtis D. Summers,45°,,,,,,,,,,,,,,,,,,,,1992,33.2617,131.4281,Wood,1/1/1992,91 km/h ,57 mph,91,km/h,56.5,42,m,137.8,0,
Kingdom Coaster,"2,200 ft (670 m)",Dutch Wonderland,Operating,Custom Coasters International,46 in (117 cm),,,,,,1:30,,,,,,,,,,,,,,,,,,,,,,,1992,40.0295,-76.2173,Wood,5/16/1992,40 mph ,64 km/h,40,mph,40,55,ft,,0,
Pepsi Orange Streak,"2,680 ft (820 m)",Nickelodeon Universe,Operating,Zierer,,,Friction Wheels,,2 trains with 15 cars. Riders are arranged 2 across in a single row for a total of 30 riders per train.,,2:30,1000 riders per hour,Werner Stengel,,40 ft (12 m),,,,,,,,,,,,,,,,,,,1992,,,Steel,8/11/1992,40 mph ,64 km/h,40,mph,40,60,ft,,0,
Pipeline Express,"1,200 ft (370 m)",Boardwalk Fun Park,Removed,"Bailey Rides, Inc.",36 in (91 cm),Auto Sled,Cart return (no lift),"$450,000 US",,,1:00,,Ken Bailey,,,,,,,,"September 7, 1992",,,,,,,,,,,,,1992,32.761,-96.997,Steel,7/23/1992,15 mph ,24 km/h,15,mph,15,45,ft,,0,
The Rattler (roller coaster),"3,266 ft (995 m)",Six Flags Fiesta Texas,Operating,Rocky Mountain Construction,48 in (122 cm),I-Box,Chain lift hill,US$10 million[1],2 Gerstlauer trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Crackaxle Canyon,,850 riders per hour,Alan Schilke,81°,171 ft (52 m),,,,Terrain,,,,,,,,,,,,,,,1992,,,Steel,5/25/2013,70 mph ,110 km/h,70,mph,70,179,ft,,1,
Runaway Mine Train (Alton Towers),"1,000 ft (300 m)",Alton Towers,Operating,Mack Rides,90 cm (2 ft 11 in),Powered Coaster,Onboard motors,"£1,000,000",,Katanga Canyon,1:50,1062 riders per hour,,29°,36 ft (11 m),,,,steel,,,,,,,,,,,,,,,1992,52.9897,-1.8856,Steel,3/21/1992,22.4 mph ,36.0 km/h,22.4,mph,22.4,36,ft,,0,2.4
Sierra Tonante,"3,280.8 ft (1,000.0 m)",Mirabilandia,Removed,S.D.C.,,,Chain lift hill,,,,1:30 min,1200 riders per hour,William CobbWerner Stengel,,,,,,,,2007,,iSpeed,,,,,,,,,,,1992,44.3361,12.2619,Wood,1/1/1992,62.1 mph ,99.9 km/h,62.1,mph,62.1,114.8,ft,,0,4
